iter	Passed	Remaining
744	5664	1938
745	5671	1931
746	5679	1923
747	5687	1916
748	5693	1907
749	5699	1899
750	5705	1891
751	5711	1883
752	5717	1875
753	5724	1867
754	5731	1860
755	5738	1852
756	5745	1844
757	5753	1836
758	5760	1829
759	5767	1821
760	5774	1813
761	5781	1805
762	5788	1797
763	5795	1790
764	5803	1782
765	5811	1775
766	5818	1767
767	5826	1760
768	5834	1752
769	5841	1744
770	5849	1737
771	5857	1729
772	5865	1722
773	5873	1715
774	5881	1707
775	5889	1699
776	5896	1692
777	5903	1684
778	5910	1676
779	5918	1669
780	5925	1661
781	5932	1653
782	5940	1646
783	5947	1638
784	5954	1630
785	5962	1623
786	5969	1615
787	5976	1607
788	5983	1600
789	5990	1592
790	5999	1585
791	6006	1577
792	6014	1569
793	6020	1562
794	6028	1554
795	6035	1546
796	6042	1539
797	6051	1531
798	6058	1524
799	6066	1516
800	6074	1509
801	6081	1501
802	6088	1493
803	6095	1486
804	6103	1478
805	6110	1470
806	6118	1463
807	6125	1455
808	6133	1448
809	6141	1440
810	6150	1433
811	6158	1425
812	6165	1418
813	6172	1410
814	6179	1402
815	6186	1395
816	6194	1387
817	6201	1379
818	6208	1372
819	6216	1364
820	6224	1357
821	6232	1349
822	6240	1342
823	6248	1334
824	6256	1327
825	6264	1319
826	6272	1312
827	6279	1304
828	6288	1297
829	6296	1289
830	6303	1282
831	6310	1274
832	6316	1266
833	6323	1258
834	6330	1251
835	6338	1243
836	6345	1235
837	6353	1228
838	6360	1220
839	6368	1212
840	6375	1205
841	6383	1197
842	6392	1190
843	6399	1182
844	6407	1175
845	6415	1167
846	6422	1160
847	6429	1152
848	6437	1144
849	6444	1137
850	6452	1129
851	6460	1122
852	6467	1114
853	6475	1106
854	6482	1099
855	6489	1091
856	6497	1084
857	6504	1076
858	6511	1068
859	6518	1061
860	6525	1053
861	6533	1045
862	6540	1038
863	6547	1030
864	6555	1023
865	6563	1015
866	6572	1008
867	6579	1000
868	6587	993
869	6594	985
870	6601	977
871	6608	970
872	6616	962
873	6623	954
874	6631	947
875	6638	939
876	6646	932
877	6653	924
878	6660	916
879	6668	909
880	6675	901
881	6683	894
882	6690	886
883	6697	878
884	6705	871
885	6712	863
886	6719	856
887	6727	848
888	6734	840
889	6742	833
890	6751	825
891	6759	818
892	6768	810
893	6777	803
894	6786	796
895	6794	788
896	6802	781
897	6809	773
898	6817	765
899	6825	758
900	6832	750
901	6840	743
902	6848	735
903	6856	728
904	6864	720
905	6873	713
906	6881	705
907	6890	698
